camera_id,pole_length,pixel_cm_conversion
E6A,304.8,0.11
E6B,304.8,0.126
E9A,304.8,0.122
E9E,304.8,0.137
E9F,304.8,0.137
W1A,304.8,0.149
W2A,304.8,0.136
W2B,304.8,0.177
W5A,304.8,0.128
W6A,304.8,0.144
W6B,304.8,0.158
W6C,304.8,0.187
W8A,304.8,0.164
W8C,304.8,0.228
W9A,304.8,0.114
W9B,304.8,0.13
W9C,304.8,0.138
W9D,304.8,0.126
W9E,304.8,0.13
W9G,304.8,0.131
BUNKHOUSE-01,151.5,0.269
CEDAR-H-01,125,0.195
CEDAR-L-01,125,0.194
CEDAR-M-01,125,0.168
CUB-H-01,126,0.253
CUB-H-02,154,0.212
CUB-L-02,122.1,0.224
CUB-M-01,121.7,0.281
CUB-M-02,151.5,0.224
CUB-U-01,151,0.203
TWISP-R-01,120.7,0.202
TWISP-U-01,121.5,0.222